병원명,기관구분,주소,지역,위도,경도
대구정신병원,기초정신건강복지센터,대구광역시 달서구 학산로 50 월성문화관 내,대구,35.8288865111811,128.534465007109
대구정신장애인 종합재활센터 미래엔미소클럽,정신재활시설,"대구광역시 서구 옥산로 6길 9, 4층",대구,35.8857221568881,128.578884318264
대길엘림,정신재활시설,"서울특별시 금천구 시흥대로 54길 19, 301호",서울,37.4523482923495,126.902791446193
대길푸른초장,정신재활시설,서울특별시 영등포구 영등포로 84길 4-14,서울,,
대성그린빌,정신요양시설,경상북도 안동시 임하면 진사리길 14,경상북도,36.4808686989143,128.829647612649
대성재활센터,정신재활시설,경상북도 안동시 임하면 고곡길260,경상북도,36.4859802705422,128.838878451141
대원대학교 산학협력단,기초정신건강복지센터,충청북도 제천시 의림대로242 보건복지센터 3층,충청북도,37.1493417043657,128.216086496955
대전 중구정신건강복지센터,기초정신건강복지센터,대전광역시 중구 수도산로 15(대흥동),대전,36.320355081719,127.425884517434
대전광역시립정신병원,기초정신건강복지센터,"대전광역시 유성구 유성대로 730번길 51, 2층",대전,36.3581192980157,127.335412303909
대전정신요양원,정신요양시설,대전광역시 동구 옥천로 315(삼정동),대전,36.3234816498521,127.470119763617
대한예수교장로회 대전노회유지재단,중독관리통합지원센터,대전광역시 서구 신갈마로 209번길 25 2층,대전,36.352157185403,127.367090251299
더숲,정신재활시설,경기도 수원시 영통구 권광로 290번길 34-5,경기,37.2735748055543,127.038517332878
더하임,정신재활시설,충청남도 금산군 부리면 무금로 1425,충청남도,36.0488596516433,127.559631776089
도담,정신재활시설,"서울특별시 동대문구 사가정로 258, 4층",서울,37.5790998952405,127.073572017252
도담도담,정신재활시설,경기도 수원시 영통구 영통로 130번길 45 102호,경기,37.2398318546846,127.058453987158
도란도란,정신재활시설,"대전광역시 유성구 송강로 15, 104동 202호",대전,36.4323077395028,127.384654169471
도래샘,정신재활시설,충청남도 공주시 큰우물길 3-1,충청남도,36.4458675825727,127.124044538361
도봉구 정신건강복지센터,기초정신건강복지센터,"서울특별시 도봉구 방학로3길 117, 1층",서울,37.657932431007,127.038820306216
도봉구정신건강복지센터(부설),자살예방센터,"서울특별시 도봉구 방학로3길 117, 1층",서울,37.657932431007,127.038820306216
돌봄사랑채,정신재활시설,서울특별시 광진구 아차산로 26길 28,서울,37.5402575080031,127.065395946623
동광임파워먼트센터,정신재활시설,경기도 부천시 원미구 부일로 191번길 30 동성프라자 701/702호,경기,37.4899983565274,126.751574984405
동국대학교경주병원,광역정신건강복지센터,"경상북도 경주시 동대로 87, 복지동3층",경상북도,35.8585036441744,129.192877172776
동국대학교일산병원,기초정신건강복지센터,경기도 파주시 봉천로 68 파주건강증진센터 1층,경기,37.7450790671407,126.805011190254
동그라미,정신재활시설,"서울특별시 광진구 능동로 43길 30-11, 202호",서울,37.5620130993629,127.080159002348
동그라미,정신재활시설,경기도 안성시 금광면 배티로 702-16,경기,36.9779464409831,127.308814626156
동대문아이존,정신재활시설,서울특별시 동대문구 답십리로 63길 73 형제빌딩 2층,서울,37.575813181985,127.068905338522
동두천요양원,정신요양시설,경기도 동두천시 평화로 3208번길 43-15,경기,37.9738842680482,127.068870950518
동래직업재활센터,정신재활시설,"부산광역시 금정구 중앙대로 2093, 10층",부산,35.2711524135818,129.092354709178
동산의료원,기초정신건강복지센터,대구광역시 달성군 옥포읍 비슬로 458길 6-2 3층,대구,35.7895397133489,128.471281161001
동아대학교병원,광역정신건강복지센터,부산광역시 남구 수영로 299 루미너스타원 12층 ,부산,35.1371570282282,129.09886517963
동아메디병원,기초정신건강복지센터,대구광역시 수성구 수성로 213,대구,35.8449592744865,128.611938542291
동영의료재단 상록병원,기초정신건강복지센터,부산광역시 동래구 명륜로 187번길 56 동래구보건소 4층,부산,35.2114125567364,129.07985326989
동작구 정신건강복지센터,기초정신건강복지센터,서울특별시 동작구 남부순환로 2025,서울,37.4764304412005,126.973622444693
동작아이존,정신재활시설,서울특별시 동작구 국사봉길 109,서울,37.4954895251315,126.932180166177
동해동인병원,기초정신건강복지센터,강원도 동해시 청운로 96(쇄운동) 1층,강원,37.4885479731811,129.102690400868
동해동인병원,기초정신건강복지센터,강원도 삼척시 척주로 76,강원,37.4439334798163,129.172089344715
동해동인병원,기초정신건강복지센터,"강원도 태백시 태백로 905(황지동,보건소)",강원,37.1766015801089,128.992495965569
동행,정신재활시설,대전광역시 중구 유천로 48번길 31(유천동),대전,36.3175541276436,127.39962952654
동행,정신재활시설,전라북도 임실군 임실읍 호국로 1716-15,전라북도,35.6144788216516,127.28998912426
두드림마음건강센터,정신재활시설,"서울특별시 양천구 등촌로 194, 4층",서울,37.547033507791,126.863192104838
두온,정신재활시설,경기도 용인시 기흥구 상갈로23번길 2 204호,경기,37.2687592973646,127.10737133077
둥근나래꿈 남성홈,정신재활시설,"전라북도 익산시 목천로 229, 3층",전라북도,35.9304241572246,126.946759866326
둥근나래꿈 여성홈,정신재활시설,"전라북도 익산시 목천로 229, 3층",전라북도,35.9304241572246,126.946759866326
둥근마음,정신재활시설,전라북도 익산시 목천로 229,전라북도,35.9304241572246,126.946759866326
드림빌1,정신재활시설,대구광역시 남구 중앙대로26길 13 하이디빌 301호,대구,35.8459885290428,128.592052427466
드림빌2,정신재활시설,대구광역시 남구 중앙대로26길 13 하이디빌 201호,대구,35.8459885290428,128.592052427466
드림하우스(구 사랑마을),정신재활시설,서울특별시 중랑구 망우로74가길 9,서울,37.5985913314985,127.104709749632
디딤돌,정신재활시설,"서울특별시 도봉구 도당로 27길 47, 2층",서울,37.6694981177216,127.040768065651
디딤터,정신재활시설,충청북도 청주시 서원구 현도면 우록4길126,충청북도,36.50437200064,127.44331999302
라온 ,정신재활시설,경기도 포천시 삼육사로 2029 엘리트빌리지 가동,경기,37.8623165548027,127.145135410413
